iter	MultiClass
0	1.061194628
1	1.032569991
2	1.005165059
3	0.9809302489
4	0.9601207383
5	0.9453347104
6	0.9313784799
7	0.917326743
8	0.9066317791
9	0.894833198
10	0.8860925548
11	0.8760333157
12	0.8676879684
13	0.8593964432
14	0.850911177
15	0.8430379471
16	0.8358271501
17	0.8303607743
18	0.8241836528
19	0.8198909679
20	0.8147041609
21	0.8101381624
22	0.8039163896
23	0.7994106879
24	0.7946869848
25	0.7911650687
26	0.7882044111
27	0.783120488
28	0.779580976
29	0.7756515482
30	0.7715923154
31	0.7683144757
32	0.7639172634
33	0.7591099414
34	0.7563992775
35	0.7546758926
36	0.7519066158
37	0.7499429967
38	0.748478161
39	0.7452407059
40	0.7416054025
41	0.7401816695
42	0.7374388713
43	0.7335795371
44	0.7307894961
45	0.7286850538
46	0.7259549184
47	0.7224907984
48	0.72018536
49	0.7177565241
50	0.7154924182
51	0.713871246
52	0.7123340853
53	0.7105198274
54	0.7091409583
55	0.7068158064
56	0.704123486
57	0.7030489848
58	0.7011324785
59	0.6984991127
60	0.6966509558
61	0.6951390673
62	0.6931443818
63	0.6904138641
64	0.6890763724
65	0.6875409108
66	0.6854807869
67	0.6831475139
68	0.6818024875
69	0.6799966369
70	0.6777561954
71	0.6762081189
72	0.6742697482
73	0.6730515989
74	0.6707777301
75	0.6689718455
76	0.6666815471
77	0.6644137697
78	0.6621677281
79	0.6602185522
80	0.657954001
81	0.6554594637
82	0.6528711612
83	0.6516527639
84	0.650074248
85	0.6489792704
86	0.6474462624
87	0.6460065752
88	0.6443419257
89	0.6422509744
90	0.6412106225
91	0.6398830479
92	0.6384918325
93	0.6372633437
94	0.635635437
95	0.6338318249
96	0.6322930941
97	0.6293209869
98	0.6276389631
99	0.6251344734
100	0.6224720398
101	0.6206727629
102	0.6194495652
103	0.6176114945
104	0.6153169356
105	0.6141332668
106	0.6124757548
107	0.6106772938
108	0.6085178385
109	0.6072390122
110	0.6057830806
111	0.6039524774
112	0.6022753569
113	0.5996855561
114	0.5985217681
115	0.5971627583
116	0.5957035333
117	0.5937528435
118	0.592839642
119	0.5913967134
120	0.5902356787
121	0.5885606806
122	0.5876391155
123	0.5862130941
124	0.5854874176
125	0.5845168185
126	0.5832838188
127	0.5809469581
128	0.5796543531
129	0.5785441825
130	0.5775455888
131	0.5759205521
132	0.5739768475
133	0.5727252467
134	0.5719532102
135	0.5697797477
136	0.5681651619
137	0.5675103376
138	0.5658997283
139	0.5646758812
140	0.5632571163
141	0.5623830638
142	0.5615183323
143	0.560298575
144	0.5590365834
145	0.5577389959
146	0.5567769724
147	0.5557658591
148	0.5546539846
149	0.553174065
150	0.5520194415
151	0.5502663485
152	0.5486629326
153	0.5471406461
154	0.5460599508
155	0.5448735435
156	0.5440295466
157	0.5432315212
158	0.5421383094
159	0.5407273918
160	0.5394999986
161	0.538363003
162	0.5366486461
163	0.5354932392
164	0.534986232
165	0.5343964276
166	0.533413173
167	0.5323329243
168	0.5308573556
169	0.5293082566
170	0.5277921209
171	0.5270944798
172	0.5264336658
173	0.5253331038
174	0.5246206777
175	0.523895853
176	0.5229077269
177	0.5214256596
178	0.5202126686
179	0.5198147022
180	0.5187771521
181	0.5181809573
182	0.5165652164
183	0.515667978
184	0.5148237307
185	0.5137220419
186	0.5130883996
187	0.5119864495
188	0.5112263599
189	0.5101140671
190	0.5090946778
191	0.5079524553
192	0.5066453899
193	0.5056895344
194	0.5043478706
195	0.5031895724
196	0.5023103679
197	0.5015085512
198	0.5007071675
199	0.5001747576
