iter	Passed	Remaining
0	54	10925
1	63	6255
2	69	4562
3	75	3713
4	81	3196
5	88	2851
6	94	2597
7	100	2418
8	107	2270
9	113	2148
10	119	2047
11	125	1965
12	131	1892
13	137	1831
14	144	1778
15	150	1727
16	156	1683
17	162	1644
18	169	1610
19	175	1576
20	184	1574
21	190	1543
22	197	1517
23	203	1490
24	209	1467
25	215	1444
26	222	1422
27	228	1402
28	234	1383
29	241	1365
30	247	1348
31	253	1330
32	259	1314
33	265	1298
34	271	1281
35	277	1265
36	283	1249
37	289	1234
38	295	1219
39	301	1206
40	307	1193
41	313	1180
42	320	1169
43	326	1156
44	332	1144
45	338	1132
46	344	1120
47	350	1110
48	356	1099
49	362	1088
50	369	1078
51	375	1068
52	381	1057
53	387	1048
54	393	1037
55	399	1027
56	406	1018
57	412	1008
58	419	1003
59	426	994
60	432	986
61	439	977
62	445	968
63	451	959
64	457	950
65	463	941
66	469	932
67	476	924
68	482	915
69	488	906
70	494	898
71	500	889
72	506	881
73	512	873
74	519	865
75	525	857
76	531	848
77	537	840
78	543	832
79	549	824
80	555	816
81	562	808
82	568	800
83	575	794
84	581	786
85	587	778
86	593	770
87	599	763
88	606	756
89	612	748
90	618	740
91	624	733
92	630	725
93	636	718
94	642	710
95	648	702
96	654	695
97	661	688
98	667	680
99	673	673
100	679	665
101	685	658
102	691	651
103	697	643
104	703	636
105	709	629
106	716	622
107	726	618
108	732	611
109	738	604
110	746	598
111	760	597
112	774	596
113	788	594
114	797	589
115	803	581
116	809	574
117	816	567
118	822	559
119	828	552
120	834	544
121	840	537
122	847	530
123	853	523
124	859	515
125	866	508
126	872	501
127	878	494
128	885	487
129	891	479
130	897	472
131	903	465
132	909	458
133	916	451
134	922	444
135	929	437
136	935	430
137	941	422
138	947	415
139	953	408
140	960	401
141	974	398
142	981	391
143	987	384
144	994	377
145	1000	370
146	1006	363
147	1013	355
148	1019	348
149	1025	341
150	1032	334
151	1038	327
152	1044	320
153	1051	313
154	1057	307
155	1064	300
156	1070	293
157	1076	286
158	1084	279
159	1090	272
160	1097	265
161	1103	258
162	1109	251
163	1115	244
164	1121	237
165	1128	231
166	1133	224
167	1139	217
168	1146	210
169	1152	203
170	1158	196
171	1165	189
172	1171	182
173	1177	175
174	1183	169
175	1189	162
176	1195	155
177	1201	148
178	1211	142
179	1217	135
180	1223	128
181	1229	121
182	1236	114
183	1242	108
184	1248	101
185	1255	94
186	1261	87
187	1267	80
188	1273	74
189	1280	67
190	1286	60
191	1292	53
192	1299	47
193	1305	40
194	1311	33
195	1317	26
196	1324	20
197	1329	13
198	1336	6
199	1342	0
